0306 todd 1 
0307 took 2 
0308 tournament 1 
0309 triple 1 
0310 troy 1 
0311 tuesday 1 
0312 u 1 
0313 understand 1 
0314 united 1 
0315 used 1 
0316 victory 1 
0317 wants 1 
0318 way 1 
0319 welcome 1 
0320 went 1 
0321 wesley 3 
0322 west 1 
0323 win 1 
0324 winners 1 
0325 winning 1 
0326 withdrawal 1 
0327 work 1 
0328 world 1 
0329 worst 1 
0330 xavier 1 
0331 year 2 
0332 years 1 
